Row Labels,Average of SVENY01,Average of SVENY02,Average of SVENY05,Average of SVENY10
<1/06/1987,,,,
(blank),,,,
Jul,0.21525,0.403755,1.545735002,3.229035003
Aug,0.146791305,0.221273915,1.030956522,2.465578245
Sep,0.138004761,0.2184,0.904628572,2.112733347
Oct,0.168095001,0.295874999,1.081960002,2.294769984
Nov,0.15424,0.244670002,0.937650004,2.124179995
Dec,0.156428572,0.245766668,0.916661901,2.079157159
2012,0.212186,0.272208,0.799776399,1.8593616
Jan,0.146955001,0.224159998,0.873315,2.059384996
Feb,0.198475,0.26129,0.864065003,2.049645013
Mar,0.230554546,0.350786366,1.057745457,2.277136358
Apr,0.223104763,0.302057143,0.937338094,2.137347607
May,0.2265,0.28309091,0.803049998,1.851045446
Jun,0.235361904,0.304619045,0.755271432,1.656390463
Jul,0.215947617,0.254780952,0.658938096,1.555395251
Aug,0.213465218,0.263143479,0.746630428,1.737886957
Sep,0.20668421,0.23711579,0.709515788,1.764768431
Oct,0.222542859,0.266752379,0.743814278,1.77977143
Nov,0.218399997,0.257354997,0.701960003,1.681185001
Dec,0.202095,0.250035001,0.728194997,1.750355011
2013,0.1630816,0.3122488,1.188882799,2.456815591
Jan,0.184833333,0.254604762,0.83212857,1.965290467
Feb,0.187610527,0.259199999,0.866105271,2.048336832
Mar,0.18302,0.249784999,0.840145001,2.021490002
Apr,0.166363637,0.222213638,0.726359091,1.790563638
May,0.154368183,0.246931819,0.850831815,1.986140885
Jun,0.170729999,0.350174995,1.203835005,2.406744981
Jul,0.150195454,0.358581819,1.411881804,2.714063634
Aug,0.148218182,0.375604547,1.532200001,2.898490906
Sep,0.146945,0.423084995,1.618724996,2.954149973
Oct,0.15889091,0.348327275,1.390431816,2.754240881
Nov,0.14956316,0.304952633,1.397273685,2.877684217
Dec,0.159614285,0.35234286,1.59191429,3.073033344
2014,0.1407508,0.4831936,1.677084804,2.648758003
Jan,0.144890475,0.40170476,1.666714299,3.006404774
Feb,0.131836842,0.347768424,1.543515795,2.853026315
Mar,0.135514286,0.414719048,1.66744285,2.852161907
Apr,0.10657619,0.430309521,1.73730001,2.826785723
May,0.094814286,0.395957141,1.620076174,2.659704753
Jun,0.124747619,0.461280952,1.70055239,2.707133327
Jul,0.129668183,0.519859093,1.729772736,2.638777289
Aug,0.127604762,0.513819046,1.677195248,2.516490471
Sep,0.140038094,0.598576191,1.822757148,2.634019046
Oct,0.125936364,0.486599993,1.600286365,2.401522734
Nov,0.163233334,0.552566669,1.665483342,2.425705539
Dec,0.261972727,0.661763641,1.680527275,2.2807273
2015,0.377949402,0.711130279,1.572013548,2.226941437
Jan,0.222470001,0.574630006,1.412710005,1.951655001
Feb,0.251242107,0.645731576,1.513242113,2.069099991
Mar,0.303754545,0.672709088,1.552895459,2.128486384
